,Country,Fulfill Via,Shipment Mode,Sub Classification,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1587,Côte d'Ivoire,From RDC,Air,Adult,60,9560,36328.0,3.8,0.06,Yes,722.0,2787.55,71.2
1589,Nigeria,From RDC,Air Charter,Adult,60,26550,302670.0,11.4,0.19,Yes,2991.0,7445.8,593.23
1590,Nigeria,From RDC,Air Charter,Adult,60,41948,478207.2,11.4,0.19,Yes,4724.0,7445.8,937.29
1591,Nigeria,From RDC,Air Charter,Adult,30,240,6300.0,26.25,0.88,Yes,21.0,7445.8,12.35
1592,Nigeria,From RDC,Air Charter,Adult,30,662,17377.5,26.25,0.88,Yes,58.0,7445.8,34.06
1593,Côte d'Ivoire,From RDC,Air,Adult,30,5010,48697.2,9.72,0.32,Yes,434.0,1854.88,95.45
1595,Nigeria,From RDC,Air Charter,Adult,30,8462,222127.5,26.25,0.88,Yes,1225.0,7445.71,435.37
1596,Mozambique,From RDC,Truck,Adult,60,374,912.56,2.44,0.04,Yes,18.0,1799.88,1.79
1597,Mozambique,From RDC,Truck,Adult,30,8438,82017.36,9.72,0.32,Yes,1404.0,1588.05,160.75
1599,Zimbabwe,From RDC,Truck,Adult,30,4000,42480.0,10.62,0.35,Yes,9020.0,14958.2,83.26
1600,Nigeria,From RDC,Air Charter,Adult,60,60930,694602.0,11.4,0.19,Yes,6862.0,9341.49,1361.42
1601,Nigeria,From RDC,Air Charter,Adult,30,25000,293750.0,11.75,0.39,Yes,2023.0,9341.49,575.75
1602,Zambia,From RDC,Truck,Adult,60,40000,350400.0,8.76,0.15,Yes,3626.0,4997.47,686.78
1603,Haiti,From RDC,Air,Adult,60,59952,525179.52,8.76,0.15,Yes,6967.0,75688.58,1029.35
1605,Tanzania,From RDC,Truck,Adult,60,6376,136573.92,21.42,0.36,Yes,640.0,2751.0,294.45
1606,Rwanda,From RDC,Air,Adult,30,4000,68000.0,17.0,0.57,Yes,256.0,12205.4,67.98
1609,Zambia,From RDC,Air,HIV test,25,561,11220.0,20.0,0.8,Yes,191.0,1200.12,67.98
1611,Côte d'Ivoire,From RDC,Air,Adult,30,4500,73125.0,16.25,0.54,Yes,410.0,1931.0,67.98
1612,Côte d'Ivoire,From RDC,Air,Adult,180,740,36496.8,49.32,0.27,Yes,206.0,1583.0,67.98
1613,Tanzania,From RDC,Air,Adult,60,28512,304508.16,10.68,0.18,Yes,2630.0,13820.4,67.98
1614,Zimbabwe,From RDC,Air,Adult,60,421,4113.17,9.77,0.16,Yes,25.0,516.84,67.98
1617,Rwanda,From RDC,Air,Adult,30,4000,68000.0,17.0,0.57,Yes,265.0,11931.0,67.98
1618,Zambia,From RDC,Air,Adult,60,5000,177500.0,35.5,0.59,Yes,239.0,1684.15,67.98
1621,Côte d'Ivoire,From RDC,Air,Adult,60,9000,67500.0,7.5,0.12,Yes,974.0,3166.0,67.98
1622,Côte d'Ivoire,From RDC,Air,Adult,60,401,862.15,2.15,0.04,Yes,235.0,1619.0,1.38
1623,Côte d'Ivoire,From RDC,Air,Adult,60,957,34260.6,35.8,0.6,Yes,95.0,1448.0,54.82
1624,Côte d'Ivoire,From RDC,Air,Pediatric,240,4316,17048.2,3.95,0.02,Yes,6634.0,15561.0,27.28
1626,Zambia,From RDC,Air,Pediatric,30,570,1977.9,3.47,0.12,Yes,26.0,505.17,67.98
1627,Zambia,From RDC,Air,Adult,120,2820,115902.0,41.1,0.34,Yes,614.0,2880.35,185.44
1628,Côte d'Ivoire,From RDC,Air,Adult,60,8347,62602.5,7.5,0.12,Yes,1313.0,3908.0,67.98
1632,Ethiopia,From RDC,Air,HIV test,100,200,27800.0,139.0,1.39,Yes,213.0,2129.46,67.98
1634,Côte d'Ivoire,From RDC,Air,Adult,120,1110,45621.0,41.1,0.34,Yes,222.0,1603.0,72.99
1635,Rwanda,From RDC,Air,HIV test,100,850,68000.0,80.0,0.8,Yes,195.0,4613.67,108.8
1636,Mozambique,From RDC,Air,Pediatric,30,570,1949.4,3.42,0.11,Yes,35.0,364.51,3.12
1637,Côte d'Ivoire,From RDC,Air,HIV test,100,79,6320.0,80.0,0.8,Yes,27.0,286.76,10.11
1639,Tanzania,From RDC,Air,HIV test,25,6452,129040.0,20.0,0.8,Yes,2334.0,9343.18,206.46
1640,Mozambique,From RDC,Air,Adult,120,4000,164400.0,41.1,0.34,Yes,870.0,1149.57,263.04
1643,Zimbabwe,From RDC,Air,Adult,30,3200,52032.0,16.26,0.54,Yes,280.0,1300.45,83.25
1644,Mozambique,From RDC,Air,Pediatric,90,422,7152.9,16.95,0.19,Yes,514.0,740.43,11.44
1645,Côte d'Ivoire,From RDC,Air,Adult,60,400,28000.0,70.0,1.17,Yes,2270.0,6889.0,44.8
1647,Côte d'Ivoire,From RDC,Air,Adult,336,1025,39319.0,38.36,0.11,Yes,1436.0,5911.5,62.91
1648,Mozambique,From RDC,Air,Adult,60,10800,102600.0,9.5,0.16,Yes,1020.0,1998.5,164.16
1649,Mozambique,From RDC,Air,Adult,60,630,957.6,1.52,0.03,Yes,36.0,1998.5,1.53
1650,Zambia,From RDC,Air,Pediatric,240,10624,65868.8,6.2,0.03,Yes,3785.0,13116.0,105.39
1653,Zambia,From RDC,Air,Pediatric,300,665,27331.5,41.1,0.14,Yes,603.0,2839.2,43.73
1656,Zambia,From RDC,Air,Pediatric,200,9050,13122.5,1.45,0.01,Yes,1084.0,5181.0,21.0
1657,Zambia,From RDC,Air,Adult,30,44135,548156.7,12.42,0.41,Yes,4082.0,13484.72,877.05
1659,Mozambique,From RDC,Air,HIV test,100,4000,288000.0,72.0,0.72,Yes,2526.0,1871.05,460.8
1660,Zambia,From RDC,Air,Pediatric,200,2950,4277.5,1.45,0.01,Yes,267.0,3094.0,6.84
1662,Zimbabwe,From RDC,Air,Adult,30,1860,23101.2,12.42,0.41,Yes,4256.0,5145.86,36.96
1666,Mozambique,From RDC,Air,HIV test,20,4500,144000.0,32.0,1.6,Yes,1482.0,1566.19,230.4
1667,Zambia,From RDC,Air,Adult,60,27681,262969.5,9.5,0.16,Yes,2581.0,19832.46,420.75
1668,Côte d'Ivoire,From RDC,Air,Adult,30,24561,294977.61,12.01,0.4,Yes,7191.0,12349.51,471.96
1670,Côte d'Ivoire,From RDC,Air,Pediatric,180,3027,28756.5,9.5,0.05,Yes,9248.0,25563.0,46.01
1672,Zambia,From RDC,Air,Adult,30,17994,472342.5,26.25,0.88,Yes,1620.0,6785.1,755.75
1673,Côte d'Ivoire,From RDC,Air,Adult,60,70000,212800.0,3.04,0.05,Yes,3681.0,10666.0,340.48
1674,Côte d'Ivoire,From RDC,Air,Adult,60,13141,44679.4,3.4,0.06,Yes,1271.0,10722.75,71.49
1679,Zambia,From RDC,Air,Pediatric,240,2091,34501.5,16.5,0.07,Yes,9386.0,33363.16,55.2
1680,Zambia,From RDC,Air,Adult,30,44135,548156.7,12.42,0.41,Yes,3454.0,12492.0,877.05
1681,Namibia,From RDC,Air,HIV test,25,100,7500.0,75.0,3.0,Yes,61.0,870.4,12.0
1682,Namibia,From RDC,Air,HIV test,25,70,5250.0,75.0,3.0,Yes,43.0,1542.15,8.4
1684,Côte d'Ivoire,From RDC,Air,Pediatric,240,475,912.0,1.92,0.01,Yes,170.0,1301.0,1.46
1685,Zambia,From RDC,Air,Adult,30,17706,464782.5,26.25,0.88,Yes,1594.0,6035.4,743.65
1686,Zimbabwe,From RDC,Air,HIV test,25,3508,70160.0,20.0,0.8,Yes,1052.0,4641.85,112.26
1689,Uganda,From RDC,Air,Adult,60,2084,19798.0,9.5,0.16,Yes,237.0,1154.5,31.68
1690,Rwanda,From RDC,Air,Adult,120,600,24660.0,41.1,0.34,Yes,859.0,5531.4,39.46
1692,Ethiopia,From RDC,Air,Adult,30,535,9095.0,17.0,0.57,Yes,33.0,755.5,14.55
1694,Ethiopia,From RDC,Air,Adult,30,4394,74698.0,17.0,0.57,Yes,317.0,1628.18,119.52
1695,Nigeria,From RDC,Air,Pediatric,240,792,4910.4,6.2,0.03,Yes,272.0,2047.0,7.86
1696,Ethiopia,From RDC,Air,Adult,60,29500,89680.0,3.04,0.05,Yes,1650.0,11339.5,143.49
1698,Côte d'Ivoire,From RDC,Air,Adult,180,1550,77500.0,50.0,0.28,Yes,345.0,1888.48,124.0
1699,Zimbabwe,From RDC,Air,Adult,60,2508,18559.2,7.4,0.12,Yes,4303.0,12894.85,29.69
1700,Zambia,From RDC,Truck,Adult,30,50000,600500.0,12.01,0.4,Yes,3882.0,5468.93,960.8
1702,Haiti,From RDC,Air,Adult,60,17843,60666.2,3.4,0.06,Yes,1667.0,19069.17,97.07
1703,Zambia,From RDC,Truck,Adult,30,45000,540450.0,12.01,0.4,Yes,3457.0,1934.31,864.72
1705,Nigeria,From RDC,Air,Adult,60,164,2177.92,13.28,0.22,Yes,2095.0,10098.25,3.48
1706,Tanzania,From RDC,Air,Adult,30,49997,620962.74,12.42,0.41,Yes,4345.0,14637.0,993.54
1708,Haiti,From RDC,Air,Pediatric,60,98,1519.0,15.5,0.26,Yes,77.0,991.49,2.43
1711,Guyana,From RDC,Air,Adult,60,431,1249.9,2.9,0.05,Yes,377.0,5228.67,2.0
1713,Haiti,From RDC,Air,Pediatric,90,105,1680.0,16.0,0.18,Yes,14.0,1015.24,2.69
1715,Tanzania,From RDC,Air,Pediatric,60,9367,72594.25,7.75,0.13,Yes,1955.0,6923.3,116.15
1716,Côte d'Ivoire,From RDC,Air,HIV test - Ancillary,100,250,2.5,0.01,0.0,Yes,61.0,1225.42,0.0
1717,Namibia,From RDC,Air,Adult,30,21000,252210.0,12.01,0.4,Yes,1815.0,6074.62,403.54
1718,Uganda,From RDC,Air,Adult,60,1450,19575.0,13.5,0.22,Yes,167.0,1472.77,31.32
1719,Haiti,From RDC,Air,Pediatric,180,34,576.64,16.96,0.09,Yes,14.0,896.55,0.92
1720,Ethiopia,From RDC,Air,Adult,60,65500,199120.0,3.04,0.05,Yes,3858.0,12047.8,318.59
1722,Mozambique,From RDC,Air,Adult,60,39000,288600.0,7.4,0.12,Yes,7719.0,6260.71,461.76
1725,Guyana,From RDC,Air,Adult,120,1530,125766.0,82.2,0.68,Yes,347.0,4220.15,201.23
1726,Tanzania,From RDC,Air,Adult,60,11352,33034.32,2.91,0.05,Yes,572.0,4152.56,52.85
1727,Tanzania,From RDC,Air,Adult,120,2580,106038.0,41.1,0.34,Yes,587.0,1153.97,169.66
1728,Ethiopia,From RDC,Air,Adult,60,5000,39500.0,7.9,0.13,Yes,229.0,1774.3,77.42
1729,Zimbabwe,From RDC,Truck,Adult,30,8000,16000.0,2.0,0.07,Yes,8855.0,29883.7,31.36
1730,Zambia,From RDC,Air,Adult,60,2306,18793.9,8.15,0.14,Yes,132.0,1659.48,36.84
1732,Guyana,From RDC,Air,Adult,60,416,3286.4,7.9,0.13,Yes,49.0,1465.71,6.44
1733,Uganda,From RDC,Air,Adult,60,50,395.0,7.9,0.13,Yes,3.0,978.92,0.77
1734,Zambia,From RDC,Truck,Adult,60,40454,137543.6,3.4,0.06,Yes,3787.0,4060.55,269.59
1735,Uganda,From RDC,Truck,Adult,60,2523,8073.6,3.2,0.05,Yes,585.0,5698.01,15.82
1736,Rwanda,From RDC,Air,Adult,60,15000,131400.0,8.76,0.15,Yes,1364.0,21215.4,257.54
1737,Nigeria,From RDC,Air,Adult,60,948,1469.4,1.55,0.03,Yes,127.0,4984.4,2.88
1740,Nigeria,From RDC,Air,Adult,60,2454,8343.6,3.4,0.06,Yes,231.0,4401.4,16.35
1741,Nigeria,From RDC,Air,Adult,60,2780,25993.0,9.35,0.16,Yes,262.0,2426.8,50.95
1742,Zambia,From RDC,Truck,Adult,60,26402,249498.9,9.45,0.16,Yes,6986.0,6269.7,399.2
1744,Nigeria,From RDC,Air,Adult,30,76,1995.0,26.25,0.88,Yes,7.0,747.5,3.19
1745,Haiti,From RDC,Air,Pediatric,240,1595,3030.5,1.9,0.01,Yes,598.0,6338.09,5.94
1746,Zambia,From RDC,Truck,Adult,60,50000,170000.0,3.4,0.06,Yes,2773.0,2938.92,333.2
1747,Mozambique,From RDC,Air,Adult,60,92950,669240.0,7.2,0.12,Yes,6883.0,7534.18,1311.71
1748,Kenya,From RDC,Truck,HIV test,20,1250,40000.0,32.0,1.6,Yes,394.0,157.5,78.4
1749,Namibia,From RDC,Truck,Pediatric,60,1008,2509.92,2.49,0.04,Yes,303.0,2989.45,4.92
1751,Ethiopia,From RDC,Air,Adult,60,41922,298484.64,7.12,0.12,Yes,3190.0,14732.36,585.03
1752,Côte d'Ivoire,From RDC,Air,Pediatric,200,3250,4550.0,1.4,0.01,Yes,315.0,6381.87,8.92
1755,Uganda,From RDC,Air,Adult,30,67,1758.75,26.25,0.88,Yes,666.0,4503.0,3.45
1757,Zambia,From RDC,Air,Adult,30,100000,1100000.0,11.0,0.37,Yes,8645.0,14041.17,2156.0
1758,Tanzania,From RDC,Air,Adult,60,58086,551817.0,9.5,0.16,Yes,8343.0,9001.03,882.91
1761,Mozambique,From RDC,Air,Adult,60,92933,669117.6,7.2,0.12,Yes,7011.0,7199.72,1311.47
1762,Côte d'Ivoire,From RDC,Air,Adult,60,21542,84013.8,3.9,0.06,Yes,1583.0,6381.87,164.67
1763,Uganda,From RDC,Air,Adult,60,1511,10879.2,7.2,0.12,Yes,205.0,2202.02,21.32
1765,Uganda,From RDC,Air,Pediatric,240,14668,30802.8,2.1,0.01,Yes,5511.0,7876.44,49.28
1766,Tanzania,From RDC,Air,Adult,30,131808,1583014.08,12.01,0.4,Yes,9996.0,8399.76,2532.82
1770,Pakistan,From RDC,Air,HIV test,20,15,540.0,36.0,1.8,Yes,16.0,1764.93,1.06
1771,Zambia,From RDC,Truck,Adult,60,44440,151096.0,3.4,0.06,Yes,8276.0,6120.06,241.75
1772,Nigeria,From RDC,Air,Adult,30,15000,393750.0,26.25,0.88,Yes,1317.0,8924.98,630.0
1775,Uganda,From RDC,Air,Adult,60,3374,24292.8,7.2,0.12,Yes,250.0,2331.03,47.61
1777,Ethiopia,From RDC,Air,Adult,60,8258,58796.96,7.12,0.12,Yes,5147.0,29336.46,115.24
1778,Ethiopia,From RDC,Air,Adult,60,27588,325538.4,11.8,0.2,Yes,3146.0,14538.36,638.06
1779,Nigeria,From RDC,Air Charter,Adult,60,11608,82648.96,7.12,0.12,Yes,1871.0,11492.86,161.99
1780,Nigeria,From RDC,Air,Adult,30,143,3753.75,26.25,0.88,Yes,14.0,6443.61,7.36
1781,Nigeria,From RDC,Air,Adult,30,326,8557.5,26.25,0.88,Yes,35.0,6443.61,16.77
1782,Nigeria,From RDC,Air,Adult,30,873,22916.25,26.25,0.88,Yes,76.0,6443.61,44.92
1783,Rwanda,From RDC,Truck,Adult,60,288,921.6,3.2,0.05,Yes,28.0,896.26,1.81
1784,Nigeria,From RDC,Air,Adult,30,32696,858270.0,26.25,0.88,Yes,2873.0,7363.73,1682.21
1786,Nigeria,From RDC,Air,Adult,30,50,1312.5,26.25,0.88,Yes,5.0,286.65,2.57
1787,Nigeria,From RDC,Air,Adult,60,5754,18412.8,3.2,0.05,Yes,318.0,3515.96,36.09
1790,Haiti,From RDC,Air,Adult,60,4860,7241.4,1.49,0.02,Yes,2034.0,23441.88,14.19
1791,Uganda,From RDC,Air,Adult,60,685,6000.6,8.76,0.15,Yes,67.0,1122.87,11.76
1792,Zambia,From RDC,Truck,Adult,30,28454,312994.0,11.0,0.37,Yes,3279.0,8288.78,613.47
1796,Uganda,From RDC,Air,Adult,60,10371,117710.85,11.35,0.19,Yes,1273.0,7493.5,230.71
1797,Nigeria,From RDC,Air Charter,Adult,60,24,72.0,3.0,0.05,Yes,21.0,7329.83,0.14
1798,Haiti,From RDC,Air,Pediatric,240,3035,5827.2,1.92,0.01,Yes,1133.0,7789.85,11.42
1800,Uganda,From RDC,Air,Adult,60,6000,52560.0,8.76,0.15,Yes,486.0,3338.35,103.02
1803,Côte d'Ivoire,From RDC,Air,Pediatric,240,3500,6650.0,1.9,0.01,Yes,1208.0,4329.01,13.03
1805,Uganda,From RDC,Air,Adult,60,2844,8247.6,2.9,0.05,Yes,1587.0,11206.84,16.17
1806,Zambia,From RDC,Truck,Adult,60,40126,285697.12,7.12,0.12,Yes,4414.0,4506.2,559.97
1807,Mozambique,From RDC,Truck,Adult,60,2484,21759.84,8.76,0.15,Yes,2078.0,2400.25,42.65
1808,Mozambique,From RDC,Air,Adult,60,370,551.3,1.49,0.02,Yes,18.0,423.89,1.08
1809,Nigeria,From RDC,Air Charter,Adult,60,4501,51311.4,11.4,0.19,Yes,507.0,7445.8,100.57
1810,Nigeria,From RDC,Air Charter,Adult,30,873,22916.25,26.25,0.88,Yes,76.0,7445.8,44.92
1811,Nigeria,From RDC,Air Charter,Adult,30,149824,3932880.0,26.25,0.88,Yes,13037.0,7445.8,7708.44
1812,Côte d'Ivoire,From RDC,Air,Adult,60,214,1874.64,8.76,0.15,Yes,19.0,1133.0,3.67
1813,Uganda,From RDC,Air,Adult,30,1201,31526.25,26.25,0.88,Yes,327.0,2737.97,61.79
1814,Haiti,From RDC,Air,Pediatric,200,400,560.0,1.4,0.01,Yes,39.0,6811.39,1.1
1816,Zambia,From RDC,Truck,Adult,30,120000,960000.0,8.0,0.27,Yes,20144.0,8281.69,1881.6
1817,Côte d'Ivoire,From RDC,Air,Pediatric,240,2917,5600.64,1.92,0.01,Yes,1348.0,5233.52,10.98
1819,Zambia,From RDC,Truck,Adult,60,2393,17038.16,7.12,0.12,Yes,256.0,2014.86,33.39
1820,Uganda,From RDC,Air,Adult,60,4564,13235.6,2.9,0.05,Yes,847.0,4999.48,25.94
1821,Côte d'Ivoire,From RDC,Air,Adult,30,15000,102750.0,6.85,0.23,Yes,1582.0,6037.19,201.39
1822,Uganda,From RDC,Air,Adult,60,13000,113880.0,8.76,0.15,Yes,1051.0,6575.7,223.2
1823,Zambia,From RDC,Truck,Adult,60,84282,252846.0,3.0,0.05,Yes,13680.0,16339.98,495.58
1824,Côte d'Ivoire,From RDC,Air,Pediatric,240,5527,11606.7,2.1,0.01,Yes,5317.0,11005.67,22.75
1825,Côte d'Ivoire,From RDC,Air,Adult,60,4400,10736.0,2.44,0.04,Yes,640.0,5678.7,21.04
1826,Nigeria,From RDC,Air Charter,Adult,60,5060,57684.0,11.4,0.19,Yes,570.0,9341.49,113.06
1827,Nigeria,From RDC,Air Charter,Adult,30,243,2855.25,11.75,0.39,Yes,22.0,9341.49,5.6
1828,Mozambique,From RDC,Truck,Adult,60,9288,81362.88,8.76,0.15,Yes,979.0,1588.06,159.47
1829,Mozambique,From RDC,Air,Adult,60,16524,144750.24,8.76,0.15,Yes,1488.0,4764.16,283.71
1830,Uganda,From RDC,Air,Adult,60,350,3972.5,11.35,0.19,Yes,45.0,749.25,7.79
1832,Ethiopia,From RDC,Air,Pediatric,240,100,1464.0,14.64,0.06,Yes,18.0,523.45,3.16
1833,Nigeria,From RDC,Air,Adult,60,60840,693576.0,11.4,0.19,Yes,7663.0,33279.39,1495.35
1836,Zambia,From RDC,Truck,Adult,60,31240,273662.4,8.76,0.15,Yes,2832.0,4897.42,590.02
1837,Ethiopia,From RDC,Air,Adult,60,6661,19316.9,2.9,0.05,Yes,778.0,4702.02,41.65
1840,Guyana,From RDC,Air,HIV test,100,210,16800.0,80.0,0.8,Yes,60.0,6012.0,67.98
1841,Zambia,From RDC,Air,HIV test,20,3500,112000.0,32.0,1.6,Yes,1109.0,9437.24,67.98
1844,Nigeria,From RDC,Air,Adult,120,2703,55411.5,20.5,0.17,Yes,401.0,2208.0,67.98
1845,Haiti,From RDC,Air,HIV test,100,10,4000.0,400.0,4.0,Yes,24.0,1027.0,67.98
1847,Côte d'Ivoire,From RDC,Air,Adult,30,10000,162500.0,16.25,0.54,Yes,910.0,3026.0,67.98
1849,Guyana,From RDC,Air,HIV test,100,100,8000.0,80.0,0.8,Yes,32.0,944.67,67.98
1850,Nigeria,From RDC,Air,HIV test,20,5250,141750.0,27.0,1.35,Yes,1699.0,8526.94,67.98
1851,Côte d'Ivoire,From RDC,Air,Adult,60,9000,67500.0,7.5,0.12,Yes,992.0,3205.0,67.98
1853,Côte d'Ivoire,From RDC,Air,Adult,60,10000,102500.0,10.25,0.17,Yes,963.0,3142.0,67.98
1854,Côte d'Ivoire,From RDC,Air,Adult,60,1000,7500.0,7.5,0.12,Yes,104.0,1458.0,67.98
1855,Côte d'Ivoire,From RDC,Air,Adult,60,9000,67500.0,7.5,0.12,Yes,969.0,3155.0,67.98
1857,Zambia,From RDC,Air,Pediatric,90,3436,58240.2,16.95,0.19,Yes,395.0,1848.37,93.18
1859,Tanzania,From RDC,Air,Adult,30,28665,466092.9,16.26,0.54,Yes,2515.0,6834.0,67.98
1860,Nigeria,From RDC,Air,Adult,60,1370,10549.0,7.7,0.13,Yes,142.0,1489.52,67.98
1862,Angola,From RDC,Truck,HIV test,20,150,4800.0,32.0,1.6,Yes,54.0,952.04,7.68
1863,Zimbabwe,From RDC,Truck,Adult,30,6400,12800.0,2.0,0.07,Yes,570.0,5348.0,20.48
1865,Tanzania,From RDC,Air,HIV test,100,300,41700.0,139.0,1.39,Yes,176.0,2102.0,66.72
1866,Tanzania,From RDC,Air,Adult,60,11807,42150.99,3.57,0.06,Yes,1802.0,3267.0,67.44
1867,Tanzania,From RDC,Air,HIV test,20,100,3200.0,32.0,1.6,Yes,36.0,939.62,5.12
1868,Zambia,From RDC,Air,Pediatric,240,500,8250.0,16.5,0.07,Yes,178.0,1105.9,13.2
1869,Tanzania,From RDC,Air,Adult,60,10977,117234.36,10.68,0.18,Yes,957.0,3243.0,187.57
1870,Zambia,From RDC,Air,Adult,30,12000,315000.0,26.25,0.88,Yes,1005.0,4407.26,504.0
1871,Tanzania,From RDC,Air,Adult,120,1155,47470.5,41.1,0.34,Yes,255.0,1388.0,75.95
1872,Tanzania,From RDC,Air,HIV test,25,6356,127120.0,20.0,0.8,Yes,1879.0,9538.74,203.39
1873,Zambia,From RDC,Air,HIV test,20,2453,78496.0,32.0,1.6,Yes,821.0,5234.8,125.59
1876,Tanzania,From RDC,Air,Adult,60,7661,274263.8,35.8,0.6,Yes,750.0,3901.78,438.82
1879,Côte d'Ivoire,From RDC,Air,Pediatric,30,485,1682.95,3.47,0.12,Yes,285.0,1786.0,2.69
1881,Zimbabwe,From RDC,Truck,HIV test,100,1500,120000.0,80.0,0.8,Yes,343.0,1645.12,192.0
1882,Zimbabwe,From RDC,Truck,Adult,60,125000,925000.0,7.4,0.12,Yes,12779.0,41772.09,1480.0
1883,Zimbabwe,From RDC,Air,Adult,60,1629,5978.43,3.67,0.06,Yes,152.0,912.45,9.57
1884,Zambia,From RDC,Air,Adult,60,1119,1958.25,1.75,0.03,Yes,1581.0,5663.0,3.13
1887,Namibia,From RDC,Air,HIV test,100,170,13600.0,80.0,0.8,Yes,39.0,541.42,21.76
1889,Zimbabwe,From RDC,Truck,Adult,30,1860,23101.2,12.42,0.41,Yes,3951.0,13788.25,36.96
1893,Tanzania,From RDC,Air,HIV test,25,9200,184000.0,20.0,0.8,Yes,3327.0,13606.4,294.4
1894,Côte d'Ivoire,From RDC,Air,Pediatric,240,6777,14570.55,2.15,0.01,Yes,2510.0,23907.05,23.31
1895,Côte d'Ivoire,From RDC,Air,Adult,30,2989,50813.0,17.0,0.57,Yes,186.0,2056.98,81.3
1896,Zambia,From RDC,Air,Adult,120,12240,503064.0,41.1,0.34,Yes,2678.0,9008.48,804.9
1899,Zambia,From RDC,Air,Pediatric,240,13124,25854.28,1.97,0.01,Yes,5309.0,17358.74,41.37
1901,Zimbabwe,From RDC,Air,Adult,60,22240,164576.0,7.4,0.12,Yes,2262.0,7364.52,263.32
1905,Haiti,From RDC,Air,Adult,120,100,4110.0,41.1,0.34,Yes,285.0,2523.6,6.58
1906,Côte d'Ivoire,From RDC,Air,HIV test,18,12,3698.04,308.17,17.12,Yes,39.0,1278.0,5.92
1907,Côte d'Ivoire,From RDC,Air,HIV test,100,1250,89987.5,71.99,0.72,Yes,296.0,2372.8,143.98
1910,Ethiopia,From RDC,Air,Pediatric,240,11168,69241.6,6.2,0.03,Yes,4583.0,14554.5,110.79
1911,Zambia,From RDC,Air,Pediatric,90,672,10752.0,16.0,0.18,Yes,128.0,845.0,17.2
1912,Nigeria,From RDC,Air,Pediatric,90,400,6400.0,16.0,0.18,Yes,48.0,1260.1,10.24
1914,Haiti,From RDC,Air,Adult,30,35000,434700.0,12.42,0.41,Yes,2153.0,24448.0,695.52
1915,Ethiopia,From RDC,Air,Pediatric,240,3286,7064.9,2.15,0.01,Yes,1215.0,8586.0,11.3
1918,Rwanda,From RDC,Air,Adult,30,37258,462744.36,12.42,0.41,Yes,3195.0,36417.89,740.39
1921,Rwanda,From RDC,Air,HIV test,100,1250,89987.5,71.99,0.72,Yes,362.0,8143.19,143.98
1922,Zambia,From RDC,Air,Adult,30,44135,548156.7,12.42,0.41,Yes,4082.0,17600.24,877.05
1923,Côte d'Ivoire,From RDC,Air,Pediatric,240,965,1852.8,1.92,0.01,Yes,344.0,1729.0,2.96
1924,Côte d'Ivoire,From RDC,Air,Pediatric,240,5581,10715.52,1.92,0.01,Yes,1988.0,6146.0,17.14
1925,Ethiopia,From RDC,Air,Adult,60,48671,147959.84,3.04,0.05,Yes,2533.0,9187.8,236.74
1926,Uganda,From RDC,Air,Adult,30,3364,41780.88,12.42,0.41,Yes,369.0,1902.9,66.85
1928,Ethiopia,From RDC,Air,Adult,60,55560,188904.0,3.4,0.06,Yes,5181.0,17975.21,302.25
1935,Nigeria,From RDC,Air,Adult,30,109,1853.0,17.0,0.57,Yes,422.0,2812.3,2.96
1937,Haiti,From RDC,Air,Adult,120,240,9864.0,41.1,0.34,Yes,52.0,1422.32,15.78
1939,Nigeria,From RDC,Air,Adult,30,3359,88173.75,26.25,0.88,Yes,300.0,2204.0,141.08
1940,Nigeria,From RDC,Air,Adult,30,641,16826.25,26.25,0.88,Yes,58.0,1110.5,26.92
1941,Zambia,From RDC,Air,Adult,60,50000,170000.0,3.4,0.06,Yes,4733.0,6002.19,272.0
1942,Nigeria,From RDC,Air,Adult,60,16610,220580.8,13.28,0.22,Yes,1832.0,11815.12,352.93
1943,Zimbabwe,From RDC,Air,Adult,60,37240,275576.0,7.4,0.12,Yes,7806.0,45047.32,440.92
1945,Zambia,From RDC,Truck,Adult,60,55560,188904.0,3.4,0.06,Yes,3224.0,4217.45,302.25
1946,Mozambique,From RDC,Air,Adult,84,630,6041.7,9.59,0.11,Yes,185.0,1214.2,9.67
1949,Côte d'Ivoire,From RDC,Air,HIV test,40,415,31540.0,76.0,1.9,Yes,453.0,1606.93,50.46
1952,Nigeria,From RDC,Air,Adult,30,25000,300250.0,12.01,0.4,Yes,2173.0,9906.63,480.4
1958,Tanzania,From RDC,Air,Pediatric,60,11640,90210.0,7.75,0.13,Yes,2427.0,8381.22,144.34
1959,Côte d'Ivoire,From RDC,Air,Pediatric,180,1503,25490.88,16.96,0.09,Yes,608.0,1996.68,40.79
1961,Haiti,From RDC,Air,Adult,60,2871,8727.84,3.04,0.05,Yes,144.0,2504.44,13.96
1962,Côte d'Ivoire,From RDC,Air,Adult,270,977,76831.28,78.64,0.29,Yes,490.0,1765.4,122.93
1964,Tanzania,From RDC,Air,Adult,30,18451,229161.42,12.42,0.41,Yes,1636.0,6195.24,366.66
1966,Zimbabwe,From RDC,Truck,Adult,60,525,4278.75,8.15,0.14,Yes,395.0,1746.3,6.85
1967,Nigeria,From RDC,Air,Adult,30,1031,12382.31,12.01,0.4,Yes,236.0,1651.16,19.81
